video_title,author,comment,video_likes
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@ĐụPhoRieu,"Xiaoma sounds like Anatoly, another funny favorite youtuber I binge on lol",0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@d.beaumont9157,"In the 1990s, i worked in London, fitting out Chinese restaurants. I love working with these hardworking people. They always made me feel welcome.  I wish i could have interacted with them as well as this guy. Speaking the language must be amazing.",0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@abubaseet,"I can't speak for how good your Mandarin is, but your Russian accent is flawless!",0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@BigSqueeGG,"As someone already commented.  This new format where Xiaoma works at a random Chinese business is just hilarious, I wonder what he'll cook up next .",0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@DougieBarclay,"Damn the spa employee in denim is beautiful! 

Great video Xiaoma ",0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@itssoaztek4592,"Oh my god, amazing job by Xiaoma and all the super nice people involved!!  Thank you all, love it when people have a little bit of fun together!!",0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@MerpSquirrel,"I went to one of these once, and dont speak Chinese at all but when I was done I said 谢谢 when I was leaving and they turned white. So dont know if it was about me or other people there but all I know is they likely will think twice about gossiping around customers now haha.",0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@nicholasbosarge5697,"honestly im just happy everyone has been such a good sport about it; i like that they dont get upset or mad, maybe it could be annoying for their experience if they had expectations but the laughter surely makes up for it",0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@That_dude_who_knows_some_stuff, Dude! That one was brutal no matter how many times I see you shock people it never gets old. ,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@JoeSir-x1r,I love how when he speaks their language they completely love him.,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@WolfAlpha-c9b,video starts at 1:59,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@leeheeseungsRamyeonn,their reactions were so cute,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@kaelakeluskar,"Xiaoma, you've trimmed down and it looks good (don't worry, you always looked good). How have you done that? Any tips to share?",0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@mawasorangutan,"This and the waiters one are my latest favorite
Watching the waiters one like over 50 times over and over",0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@idleprepress,"Anatoly accent just killed me, lol. Almost thought you were going to start lifting things.",0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@wingsta9613,The shop owner with the denim jacket is so gorgeous,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@Splinter2099,From a waiter to a hairdresser. ,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@Emilyk1317,"Would love a nutrition /lifestyle update. You made such amazing changes, staying consistent is difficulty. You always speak with great insight so would be cool to see a video update on it all.",0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@melindacarpenter8070,YOU DON'T MESS WITH THE ZOHAN ,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@hini1968,my #1 reason for learning other languages,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@SirLoinDeRes,Receiving compliments for speaking other people's language is great. Last March I went to Italy and surprised a lot of people when I started speaking in Italian.,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@marsn9897,7:33 fbi we got him,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@makolite,I LOVE SEEING XIAOMA WORK AT RANDOM PLACES THIS IS PEAK,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@gwenemilie1,10:30 WHY WAS HE SO SCARED OF THE TIP ,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@Cosmic_1nfinity,"I love his videos, this guy is amazing ",0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@jeremyg.8472,The boss is a smoke show,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@soufyanl1227,"i loved listening to your conversations, chinese people are so smart and real",0
